4_2486101,158,10,3
3_7888384,43,1,1
3_7386617,13,0,1
3_2899267,13,0,1
3_556849,13,0,1
3_1728058,13,0,1
3_2804961,17,0,2
3_2804958,13,0,1
3_2804959,13,0,1
3_2804960,13,0,1
3_5129705,13,0,1
4_3989754,27,2,2
3_1696688,12,0,1
4_5160962,15,2,1
3_2867896,6,0,1
3_3976169,6,0,1
4_6332170,40,2,1
3_4039104,6,0,1
3_5147377,126,2,3
4_7503378,35,2,1
3_5210312,30,1,1
3_6318585,6,0,1
4_7323873,30,2,1
3_626599,24,1,1
3_5129701,6,0,1
2_7323873,21,1,1
2_7503378,28,1,1
5_2486101,91,10,2
4_7888384,26,1,1
4_2899267,6,0,1
4_7386617,6,0,1
4_556849,6,0,1
4_1728058,6,0,1
4_2804961,55,2,3
4_2804958,6,0,1
4_2804959,6,0,1
4_2804960,6,0,1
4_5129705,10,1,3
5_3989754,27,2,1
4_1696688,8,1,1
5_5160962,18,2,1
4_2867896,8,1,1
4_3976169,42,2,3
5_6332170,12,2,1
4_4039104,8,1,1
4_5147377,4,0,1
5_7503378,18,2,1
4_5210312,16,1,1
4_6318585,4,0,1
5_7323873,21,2,1
4_626599,20,1,1
4_5129701,4,0,1
3_7323873,20,1,1
3_7503378,15,1,1
3_6332170,5,0,1
3_5160962,5,0,1
3_3989754,15,0,2
3_2486101,68,1,3
3_6926491,18,0,3
3_2486100,76,1,3
5_4319057,25,4,1
3_7888383,44,1,1
2_2486100,63,1,2
4_2486100,53,1,2
3_7712929,32,1,1
2_6926491,17,0,1
4_6926491,171,2,3
3_4420262,137,3,1
2_4319057,69,1,2
2_7323877,63,1,2
2_2486101,69,1,2
6_2486101,93,10,1
5_7888384,40,1,1
5_2899267,4,0,1
5_7386617,4,0,1
5_556849,4,0,1
5_1728058,4,0,1
5_2804961,141,2,3
5_2804958,4,0,1
5_2804959,4,0,1
5_2804960,4,0,1
5_5129705,34,1,3
6_3989754,75,2,1
5_1696688,16,1,1
6_5160962,84,2,1
5_2867896,16,1,1
5_3976169,213,2,3
6_6332170,33,2,1
5_4039104,36,1,1
5_5147377,4,0,1
6_7503378,30,2,1
5_5210312,32,1,1
5_6318585,4,0,1
6_7323873,27,2,1
5_626599,28,1,1
5_5129701,4,0,1
6_4319057,40,4,0
4_7888383,36,1,1
5_2486100,107,3,2
4_7712929,14,1,1
5_6926491,66,3,2
4_4420262,51,3,1
3_4319057,18,0,4
3_7323877,48,1,2
4_6215407,61,3,2
7_2486101,46,10,0
6_7888384,33,1,1
6_2899267,2,0,1
6_7386617,2,0,1
6_556849,2,0,1
6_1728058,2,0,1
6_2804961,94,2,3
6_2804958,2,0,1
6_2804959,2,0,1
6_2804960,2,0,1
6_5129705,2,0,1
7_3989754,30,2,0
6_1696688,20,1,1
7_5160962,9,2,0
6_2867896,14,1,1
6_3976169,2,0,1
7_6332170,7,2,0
6_4039104,10,1,1
6_5147377,2,0,1
7_7503378,9,2,0
6_5210312,14,1,1
6_6318585,2,0,1
7_7323873,10,2,0
6_626599,16,1,1
6_5129701,2,0,1
7_4319057,26,1,0
5_7888383,19,1,1
6_2486100,210,3,1
5_7712929,37,1,1
6_6926491,78,3,1
5_4420262,75,3,1
4_4319057,44,1,3
4_7323877,39,1,2
4_626603,20,1,1
5_7323877,20,2,1
4_3527978,8,1,1
3_6926490,17,0,2
3_2486099,17,0,2
3_626603,34,1,1
3_7888382,48,1,1
2_2486099,39,1,1
4_2486099,112,2,1
3_7712928,24,1,1
2_6926490,13,0,1
4_6926490,116,2,1
3_4420261,94,3,1
2_7323876,45,1,2
5_6215407,111,3,2
8_2486101,79,10,0
7_7888384,54,1,1
7_2899267,2,0,1
7_7386617,2,0,1
7_556849,2,0,1
7_1728058,2,0,1
7_2804961,210,2,3
7_2804958,2,0,1
7_2804959,2,0,1
7_2804960,2,0,1
7_5129705,2,0,1
8_3989754,63,2,0
7_1696688,52,1,1
8_5160962,31,2,0
7_2867896,58,1,1
7_3976169,2,0,1
8_6332170,14,2,0
7_4039104,24,1,1
7_5147377,2,0,1
8_7503378,13,2,0
7_5210312,22,1,1
7_6318585,2,0,1
8_7323873,12,2,0
7_626599,20,1,1
7_5129701,2,0,1
8_4319057,59,1,0
6_7888383,34,1,1
7_2486100,18,1,0
6_7712929,22,1,1
7_6926491,40,2,0
6_4420262,66,3,1
5_626603,9,1,1
6_7323877,19,2,0
5_3527978,13,1,1
4_7888382,4,1,1
5_2486099,3,1,0
4_7712928,4,1,1
5_6926490,13,2,0
4_4420261,20,3,1
3_7323876,12,1,1
2_6926489,23,0,1
2_2486098,86,1,1
3_626602,8,1,1
4_7323876,5,1,0
2_626603,39,1,1
1_7323877,28,1,1
2_7888384,54,1,1
1_2486101,38,1,1
2_626602,12,1,1
1_7323876,10,1,1
2_7888383,60,1,1
1_2486100,42,1,1
2_7888381,4,1,1
1_2486098,3,0,1
3_2486098,3,1,0
2_4420260,12,3,1
1_4319057,3,0,1
1_7323875,6,1,1
1_2486099,6,1,1
3_6926489,7,1,0
2_5210312,12,1,1
1_7503378,7,0,1
2_626599,18,1,1
1_7323873,14,1,1
1_626599,16,1,1
0_7323873,9,0,1
1_6318585,132,2,3
0_6926488,45,0,1
0_2486097,45,0,1
1_7888382,28,1,1
0_2486099,15,0,1
1_626601,4,1,1
0_7323875,3,0,1
2_7323875,3,1,0
1_7888383,44,1,1
0_2486100,23,0,1
1_626602,32,1,1
0_7323876,17,0,1
1_7888384,48,1,1
0_2486101,25,0,1
1_626603,44,1,1
0_7323877,23,0,1
0_626603,15,0,1
0_7888384,20,0,1
0_626602,6,0,1
0_7888383,22,0,1
0_626601,4,0,1
0_7888382,4,0,1
0_7888380,2,0,1
1_2486097,2,1,0
0_4420259,2,0,1
1_6926488,2,1,0
0_626599,8,0,1
